date,_id,place_name,place_type,lat,lng,text
Tue Sep 29 20:57:35 +0000 2020,1311047494021701632,Oadby,city,52.5883,-1.09612,"""Hovis granary wholemeal"" in #Leicester #UnitedKingdom https://t.co/KHBPPYeEON #foodwaste #free"
Tue Sep 29 20:43:53 +0000 2020,1311044046471585792,Oadby,city,52.5883,-1.09612,"""Celery"" in #Leicester #UnitedKingdom https://t.co/oVHNVROuEz #foodwaste #free"
Tue Sep 29 20:43:26 +0000 2020,1311043935322611712,Hammersmith,city,51.4865,-0.22651,"""Eat 17 - small baguettes"" in #London #UnitedKingdom https://t.co/UC9WVqrXP2 #foodwaste #free"
Tue Sep 29 20:41:30 +0000 2020,1311043448972083203,Barking,city,51.5409,0.122,"""Salad"" in #Dagenham #UnitedKingdom https://t.co/p26iZHTuMD #foodwaste #free"
Tue Sep 29 20:41:06 +0000 2020,1311043346257772544,Glasgow,city,55.872,-4.26896,"""Humous and Chipotle Wrap"" in #Glasgow #UnitedKingdom https://t.co/swatH6cNsW #foodwaste #free"
Tue Sep 29 20:21:16 +0000 2020,1311038353458917376,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/FLDnVg5KPM #foodwaste #free"
Tue Sep 29 19:58:56 +0000 2020,1311032734249295873,Portsmouth,city,50.819767,-1.087977,"""Kids bedroom curtains"" in #Portsmouth #UnitedKingdom https://t.co/GArue6kVL1 #zerowaste #free"
Tue Sep 29 19:58:13 +0000 2020,1311032553516793859,Warrington,city,53.3885,-2.66278,"""4 assorted bakery items"" in #Warrington #UnitedKingdom https://t.co/YEJaZp2aBN #foodwaste #free"
Tue Sep 29 19:58:10 +0000 2020,1311032540929708035,Warrington,city,53.3885,-2.66278,"""4 assorted bakery items"" in #Warrington #UnitedKingdom https://t.co/kIriMGNSNB #foodwaste #free"
Tue Sep 29 19:58:10 +0000 2020,1311032540178849792,Warrington,city,53.3885,-2.66278,"""4 assorted bakery items"" in #Warrington #UnitedKingdom https://t.co/LAT28vk6gI #foodwaste #free"
Tue Sep 29 19:57:24 +0000 2020,1311032347270287360,Ashford,city,51.1452,0.90016,"""Pret tuna Niçoise salad "" in #Ashford #UnitedKingdom https://t.co/yto9yG7rug #foodwaste #free"
Tue Sep 29 19:57:23 +0000 2020,1311032346091696130,Hammersmith,city,51.5045,-0.22014,"""Pret pastries (0 means nothing so pls don't re..."" in #London #UnitedKingdom https://t.co/YARykSOJEe #foodwaste #free"
