date,_id,lat,lng,place_name,place_county,place_type,text
Tue Sep 29 20:57:35 +0000 2020,1311047494021700000,52.5883,-1.09612,Oadby and Wigston,Leicestershire,city,"""Hovis granary wholemeal"" in #Leicester #UnitedKingdom https://t.co/KHBPPYeEON #foodwaste #free"
Tue Sep 29 20:43:53 +0000 2020,1311044046471590000,52.5883,-1.09612,Oadby and Wigston,Leicestershire,city,"""Celery"" in #Leicester #UnitedKingdom https://t.co/oVHNVROuEz #foodwaste #free"
Tue Sep 29 20:43:26 +0000 2020,1311043935322610000,51.4865,-0.22651,Hammersmith and Fulham,London,city,"""Eat 17 - small baguettes"" in #London #UnitedKingdom https://t.co/UC9WVqrXP2 #foodwaste #free"
Tue Sep 29 20:41:30 +0000 2020,1311043448972080000,51.5409,0.122,Barking and Dagenham,London,city,"""Salad"" in #Dagenham #UnitedKingdom https://t.co/p26iZHTuMD #foodwaste #free"
Tue Sep 29 20:41:06 +0000 2020,1311043346257770000,55.872,-4.26896,Glasgow,Glasgow,city,"""Humous and Chipotle Wrap"" in #Glasgow #UnitedKingdom https://t.co/swatH6cNsW #foodwaste #free"
Tue Sep 29 20:21:16 +0000 2020,1311038353458920000,51.4955,-0.09768,Southwark,London,city,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/FLDnVg5KPM #foodwaste #free"
Tue Sep 29 19:58:56 +0000 2020,1311032734249300000,50.819767,-1.087977,Portsmouth,Portsmouth,city,"""Kids bedroom curtains"" in #Portsmouth #UnitedKingdom https://t.co/GArue6kVL1 #zerowaste #free"
Tue Sep 29 19:58:13 +0000 2020,1311032553516790000,53.3885,-2.66278,Penketh,Warrington,suburb,"""4 assorted bakery items"" in #Warrington #UnitedKingdom https://t.co/YEJaZp2aBN #foodwaste #free"
Tue Sep 29 19:58:10 +0000 2020,1311032540929710000,53.3885,-2.66278,Penketh,Warrington,suburb,"""4 assorted bakery items"" in #Warrington #UnitedKingdom https://t.co/kIriMGNSNB #foodwaste #free"
Tue Sep 29 19:58:10 +0000 2020,1311032540178850000,53.3885,-2.66278,Penketh,Warrington,suburb,"""4 assorted bakery items"" in #Warrington #UnitedKingdom https://t.co/LAT28vk6gI #foodwaste #free"
Tue Sep 29 19:57:24 +0000 2020,1311032347270290000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret tuna Niçoise salad "" in #Ashford #UnitedKingdom https://t.co/yto9yG7rug #foodwaste #free"
Tue Sep 29 19:57:23 +0000 2020,1311032346091700000,51.5045,-0.22014,Hammersmith and Fulham,London,city,"""Pret pastries (0 means nothing so pls don't re..."" in #London #UnitedKingdom https://t.co/YARykSOJEe #foodwaste #free"
Tue Sep 29 19:57:23 +0000 2020,1311032345898740000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret tuna Niçoise salad "" in #Ashford #UnitedKingdom https://t.co/SVN7EjoUji #foodwaste #free"
Tue Sep 29 19:56:24 +0000 2020,1311032095662370000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret egg n bacon baguette "" in #Ashford #UnitedKingdom https://t.co/nldgMU2YJx #foodwaste #free"
Tue Sep 29 19:56:14 +0000 2020,1311032056126860000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret egg n bacon baguette "" in #Ashford #UnitedKingdom https://t.co/c9YypCYooH #foodwaste #free"
Tue Sep 29 19:55:56 +0000 2020,1311031981313060000,51.5045,-0.22014,Hammersmith and Fulham,London,city,"""Pret sandwiches (0 means nothing so pls don't ..."" in #London #UnitedKingdom https://t.co/5Vgdc8bDeo #foodwaste #free"
Tue Sep 29 19:55:50 +0000 2020,1311031956474340000,51.5027,0.04564,Newham,London,city,"""New Spectacle Frame"" in #London #UnitedKingdom https://t.co/mYZG6HX897 #zerowaste #free"
Tue Sep 29 19:55:25 +0000 2020,1311031849297360000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret posh cheddar pickle baguette "" in #Ashford #UnitedKingdom https://t.co/EjPO8vJIpm #foodwaste #free"
Tue Sep 29 19:55:20 +0000 2020,1311031829839910000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret posh cheddar pickle baguette "" in #Ashford #UnitedKingdom https://t.co/HuCa3N7FeZ #foodwaste #free"
Tue Sep 29 19:55:20 +0000 2020,1311031829483450000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret posh cheddar pickle baguette "" in #Ashford #UnitedKingdom https://t.co/hv69nuVPXp #foodwaste #free"
Tue Sep 29 19:54:10 +0000 2020,1311031536620320000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret avocado olives tomatoes baguette "" in #Ashford #UnitedKingdom https://t.co/kM4G3DMAmn #foodwaste #free"
Tue Sep 29 19:54:09 +0000 2020,1311031531880810000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret avocado olives tomatoes baguette "" in #Ashford #UnitedKingdom https://t.co/lCemzpElqG #foodwaste #free"
Tue Sep 29 19:54:06 +0000 2020,1311031519214010000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret avocado olives tomatoes baguette "" in #Ashford #UnitedKingdom https://t.co/Au2TjEG7c5 #foodwaste #free"
Tue Sep 29 19:54:00 +0000 2020,1311031494643680000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret avocado olives tomatoes baguette "" in #Ashford #UnitedKingdom https://t.co/HlmzRB4dPd #foodwaste #free"
Tue Sep 29 19:54:00 +0000 2020,1311031492513080000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret avocado olives tomatoes baguette "" in #Ashford #UnitedKingdom https://t.co/HD6sRa3ha7 #foodwaste #free"
Tue Sep 29 19:53:34 +0000 2020,1311031386103530000,52.2264,0.12106,Cambridge,Cambridgeshire,city,"""Halloween and Christmas decorations"" in #Cambridge #UnitedKingdom https://t.co/ozfw0o0Zfx #zerowaste #free"
Tue Sep 29 19:53:34 +0000 2020,1311031384149030000,53.3885,-2.66278,Penketh,Warrington,suburb,"""3 mixed croissants"" in #Warrington #UnitedKingdom https://t.co/cuV50JKjer #foodwaste #free"
Tue Sep 29 19:53:20 +0000 2020,1311031326825500000,53.3885,-2.66278,Penketh,Warrington,suburb,"""3 mixed croissants"" in #Warrington #UnitedKingdom https://t.co/1nvWAuCojD #foodwaste #free"
Tue Sep 29 19:53:20 +0000 2020,1311031325797810000,51.5533,0.00914,Waltham Forest,London,city,"""Used Buggy - Foldable Mountain Buggy Nano"" in #ForestGate #UnitedKingdom https://t.co/NqlzpJYqOX #zerowaste #free"
Tue Sep 29 19:52:58 +0000 2020,1311031231451220000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret ham greve "" in #Ashford #UnitedKingdom https://t.co/gw9zlVz6cF #foodwaste #free"
Tue Sep 29 19:52:57 +0000 2020,1311031231103090000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret ham greve "" in #Ashford #UnitedKingdom https://t.co/XN8KpC1Vlo #foodwaste #free"
Tue Sep 29 19:52:57 +0000 2020,1311031229823710000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret ham greve "" in #Ashford #UnitedKingdom https://t.co/bGLYbyzW0Z #foodwaste #free"
Tue Sep 29 19:52:08 +0000 2020,1311031024479070000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret Italian prosciutto baguette "" in #Ashford #UnitedKingdom https://t.co/6x31oNEJ6y #foodwaste #free"
Tue Sep 29 19:52:08 +0000 2020,1311031024202150000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg roasted tomatoes breakfast sandwich "" in #Manchester #UnitedKingdom https://t.co/sQe1UhaJpZ #foodwaste #free"
Tue Sep 29 19:52:07 +0000 2020,1311031021580800000,53.3885,-2.66278,Penketh,Warrington,suburb,"""Melon and grape pot"" in #Warrington #UnitedKingdom https://t.co/ZXVGzUeeFc #foodwaste #free"
Tue Sep 29 19:52:07 +0000 2020,1311031021031310000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg roasted tomatoes breakfast sandwich "" in #Manchester #UnitedKingdom https://t.co/n11Ft1whEg #foodwaste #free"
Tue Sep 29 19:52:06 +0000 2020,1311031016220430000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg roasted tomatoes breakfast sandwich "" in #Manchester #UnitedKingdom https://t.co/0K8yjWU27H #foodwaste #free"
Tue Sep 29 19:51:15 +0000 2020,1311030802612920000,50.832228,-0.399619,Salvington,West Sussex,suburb,"""BT WIFI box "" in #Worthing #UnitedKingdom https://t.co/VXPaB8oznJ #zerowaste #free"
Tue Sep 29 19:51:15 +0000 2020,1311030799827900000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret classic super club sandwich "" in #Ashford #UnitedKingdom https://t.co/7luf04ApZ7 #foodwaste #free"
Tue Sep 29 19:51:03 +0000 2020,1311030753086630000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret classic super club sandwich "" in #Ashford #UnitedKingdom https://t.co/dDnfZyWNP2 #foodwaste #free"
Tue Sep 29 19:50:58 +0000 2020,1311030728692560000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret classic super club sandwich "" in #Ashford #UnitedKingdom https://t.co/HH4k6IXREU #foodwaste #free"
